state,side,type,year.dedicated,year.removed,status
TX,South,Schools,1934,,Active
TX,South,Schools,1928,,Active
TX,South,Schools,1921,,Active
TX,South,Schools,1921,,Active
TX,South,Schools,1921,,Active
TX,South,Schools,1956,2018,Removed
TX,South,Schools,1955,2016,Removed
TX,South,Schools,1905,,Active
TX,South,Schools,1910,,Active
TX,South,Schools,1927,2018,Removed
TX,South,Schools,1939,2018,Removed
TX,South,Schools,1954,,Active
TX,South,Schools,1958,2017,Removed
TX,South,Schools,1988,2017,Removed
TX,South,Schools,1948,,Active
TX,South,Schools,1959,2016,Removed
TX,South,Schools,1926,2016,Removed
TX,South,Schools,1926,2016,Removed
TX,South,Schools,1962,2016,Removed
TX,South,Schools,1968,2016,Removed
TX,South,Schools,1925,2016,Removed
TX,South,Schools,1902,2017,Removed
TX,South,Schools,1961,,Active
TX,South,Schools,1961,,Active
TX,South,Schools,1956,,Active
TX,South,Schools,1927,,Active
TX,South,Schools,1980,,Active
TX,South,Schools,1949,,Active
TX,South,Schools,1958,,Active
TX,South,Schools,1924,,Active
TX,South,Schools,1964,,Active
TX,South,Schools,1930,,Active
TX,South,Schools,1958,,Active
VA,South,Schools,1925,,Active
VA,South,Schools,1956,,Active
VA,South,Schools,1948,,Active
VA,South,Schools,1968,,Active
VA,South,Schools,1997,,Active
VA,South,Schools,1959,,Active
VA,South,Schools,1977,,Active
VA,South,Schools,1960,2018,Removed
VA,South,Schools,1965,2018,Removed
VA,South,Schools,1962,,Active
VA,South,Schools,1962,,Active
VA,South,Schools,1959,,Active
VA,South,Schools,1969,,Active
VA,South,Schools,1915,2018,Removed
VA,South,Schools,1924,2018,Removed
VA,South,Schools,1911,2018,Removed
VA,South,Schools,1959,,Active
VA,South,Schools,1922,2018,Removed
VA,South,Schools,1924,2018,Removed
VA,South,Schools,1952,,Active
VA,South,Schools,1958,,Active
VA,South,Schools,1926,,Active
VA,South,Schools,1938,,Active
WA,Not a State,Schools,1955,,Active
WV,South,Schools,1940,,Active
